tool,vendor,category,baa_status,baa_verdict,phi_eligible,how_to_get_baa,baa_last_verified,source_url,atlas_url
Google Gemini,Google,AI chat assistant,available,Yes,conditional,Gemini for Workspace is a HIPAA-covered service under the Google Workspace BAA. A Workspace admin must accept the BAA in the Admin console; the free consumer Gemini app is not covered.,2026-06-01,https://workspace.google.com/security/ai-privacy/,https://baa-atlas.foundagent.net/ai/google-gemini
ChatGPT,OpenAI,AI chat assistant,plan_gated,Only on a qualifying (usually enterprise) tier,conditional,"BAA available on ChatGPT Enterprise, the API platform, and the new ChatGPT for Healthcare (launched Jan 2026). Free, Plus and Pro consumer plans are excluded and cannot get a BAA.",2026-06-01,https://openai.com/enterprise-privacy/,https://baa-atlas.foundagent.net/ai/chatgpt
Claude,Anthropic,AI chat assistant,plan_gated,Only on a qualifying (usually enterprise) tier,conditional,"A BAA is available on Claude for Enterprise (and commercial/API agreements). Consumer Claude (Free, Pro, Max) is not BAA-covered.",2026-06-01,https://www.anthropic.com/legal/commercial-terms,https://baa-atlas.foundagent.net/ai/anthropic-claude
Codeium / Windsurf,Codeium,AI coding assistant,plan_gated,Only on a qualifying (usually enterprise) tier,conditional,"Windsurf/Codeium's security page states it is maintained HIPAA-compliant and will entertain a BAA for significant (enterprise) implementations with zero-data-retention by default on Teams/Enterprise; the standard MSA, however, disclaims that the Offerings meet HIPAA, so a BAA must be separately negotiated.",2026-06-01,https://windsurf.com/security,https://baa-atlas.foundagent.net/ai/codeium
ElevenLabs,ElevenLabs,AI voice / audio,plan_gated,Only on a qualifying (usually enterprise) tier,conditional,"ElevenLabs executes a BAA only for Enterprise subscriptions, which must run a HIPAA-compliant configuration with Zero Retention Mode enabled; customers contact Sales to sign the BAA before handling PHI.",2026-06-01,https://elevenlabs.io/docs/conversational-ai/legal/hipaa,https://baa-atlas.foundagent.net/ai/elevenlabs
Grammarly,Grammarly,Writing assistant,plan_gated,Only on a qualifying (usually enterprise) tier,conditional,Grammarly enters a BAA only on Grammarly Business Enterprise plans with a 100-seat minimum; individual and smaller paid plans are not BAA-eligible and must not handle PHI.,2026-06-01,https://support.grammarly.com/hc/en-us/articles/4403227220237-Is-Grammarly-HIPAA-compliant,https://baa-atlas.foundagent.net/ai/grammarly
Microsoft 365 Copilot,Microsoft,Workplace AI suite,plan_gated,Only on a qualifying (usually enterprise) tier,conditional,"Covered by Microsoft's HIPAA BAA when run inside an eligible Microsoft 365 enterprise tenant (E3/E5, Business Premium). Consumer and unlicensed add-on tiers are excluded.",2026-06-01,https://learn.microsoft.com/en-us/microsoft-365/copilot/enterprise-data-protection,https://baa-atlas.foundagent.net/ai/microsoft-365-copilot
Otter.ai,Otter.ai,Meeting transcription AI,plan_gated,Only on a qualifying (usually enterprise) tier,conditional,"A BAA is available on Otter Enterprise only. Basic, Pro and Business plans cannot execute a BAA.",2026-06-01,https://otter.ai/privacy-policy,https://baa-atlas.foundagent.net/ai/otter-ai
Slack AI,Slack (Salesforce),Workplace AI suite,plan_gated,Only on a qualifying (usually enterprise) tier,conditional,"Slack signs a BAA only for Enterprise Grid; once configured for HIPAA, PHI may appear in messages and file uploads that Slack AI operates on within Slack's trust boundary, while third-party marketplace apps stay excluded.",2026-06-01,https://slack.com/help/articles/360020685594-Slack-and-HIPAA,https://baa-atlas.foundagent.net/ai/slack-ai
Notion AI,Notion,Workplace AI suite,plan_gated,Only on a qualifying (usually enterprise) tier,no,"Notion signs a BAA only on the Enterprise plan (100+ members), and the Notion AI add-on is explicitly carved out of that BAA — so PHI may never be processed through Notion AI even on an Enterprise BAA.",2026-06-01,https://www.notion.com/help/hipaa,https://baa-atlas.foundagent.net/ai/notion-ai
Fireflies.ai,Fireflies.ai,AI meeting notetaker,on_request,On request,conditional,"HIPAA compliance and a BAA are available on request for qualifying (paid) plans, executed via Fireflies' Data Processing Agreement.",2026-06-01,https://fireflies.ai/security,https://baa-atlas.foundagent.net/ai/fireflies
Grok,xAI,AI chat assistant,on_request,On request,conditional,"xAI can sign a BAA for Enterprise customers after a BAA questionnaire, and PHI must be sent only via xAI's ZDR-enabled API; consumer Grok has no BAA.",2026-06-01,https://docs.x.ai/developers/faq/security,https://baa-atlas.foundagent.net/ai/grok
Tabnine,Tabnine,AI coding assistant,on_request,On request,conditional,"Tabnine fits HIPAA workflows via its Enterprise self-hosted, VPC, on-prem and air-gapped deployments with zero code retention, where customer code never reaches Tabnine's servers; a BAA is handled through enterprise engagement rather than a self-serve click-through.",2026-06-01,https://docs.tabnine.com/main/welcome/readme/security,https://baa-atlas.foundagent.net/ai/tabnine
Adobe Firefly,Adobe,AI image generation,not_available,No,no,"Adobe acts as a Business Associate only for designated HIPAA-Ready Services (e.g. Acrobat Sign Enterprise and select Document/Experience Cloud capabilities); Firefly is a creative generative-AI app and is not a HIPAA-Ready Service, so no Firefly BAA is available.",2026-06-01,https://www.adobe.com/trust/compliance/hipaa-hds/hipaa-ready.html,https://baa-atlas.foundagent.net/ai/adobe-firefly
Amazon Q Developer,Amazon Web Services,AI coding assistant,not_available,No,no,"AWS signs a single BAA covering eligible services, but Amazon Q Developer is NOT on the AWS HIPAA Eligible Services Reference list (only Amazon Q Business is); AWS states Q Developer is not designed to transmit, store or process ePHI.",2026-06-01,https://aws.amazon.com/compliance/hipaa-eligible-services-reference/,https://baa-atlas.foundagent.net/ai/amazon-q-developer
Canva (Magic Studio),Canva,AI design tool,not_available,No,no,"Canva does not sign a BAA on any plan, including Canva Enterprise; its Trust Center offers only GDPR-oriented Data Processing Addendums, not a HIPAA BAA.",2026-06-01,https://www.canva.com/trust/privacy/,https://baa-atlas.foundagent.net/ai/canva
Character.AI,Character.AI,AI companion chat,not_available,No,no,Character.AI is a consumer entertainment chatbot with no HIPAA BAA and no healthcare/enterprise compliance tier; users are advised not to share sensitive or medical data.,2026-06-01,https://support.character.ai/hc/en-us/articles/39030432883099-Privacy-Policy,https://baa-atlas.foundagent.net/ai/character-ai
Copy.ai,Copy.ai,AI writing / marketing,not_available,No,no,Copy.ai is a marketing/GTM writing tool whose public security and trust materials address general data privacy (SOC 2 / GDPR / CCPA style) but contain no HIPAA compliance statement or BAA offering.,2026-06-01,https://www.copy.ai/security,https://baa-atlas.foundagent.net/ai/copy-ai
Cursor,Anysphere,AI code editor,not_available,No,no,"Cursor (Anysphere) does not publicly offer a BAA on any plan — Free, Pro, Business or Enterprise — and its terms contain no HIPAA provisions; healthcare teams are directed to contact sales but no BAA is documented.",2026-06-01,https://cursor.com/security,https://baa-atlas.foundagent.net/ai/cursor
DeepSeek,DeepSeek,AI chat assistant,not_available,No,no,DeepSeek publishes no HIPAA BAA and offers no HIPAA-compliant tier; data is stored in the People's Republic of China and the product carries no compliance or transparency guarantees for healthcare use.,2026-06-01,https://cdn.deepseek.com/policies/en-US/deepseek-privacy-policy.html,https://baa-atlas.foundagent.net/ai/deepseek
Descript,Descript,AI audio / video editor,not_available,No,no,"Descript's published compliance program (security page, SecurityPal trust center) covers SOC 2 Type II, GDPR, CCPA and Privacy by Design but lists no HIPAA attestation and offers no BAA on any plan, including Enterprise.",2026-06-01,https://www.descript.com/security,https://baa-atlas.foundagent.net/ai/descript
GitHub Copilot,GitHub (Microsoft),Coding assistant,not_available,No,no,GitHub Copilot is explicitly outside Microsoft's HIPAA BAA scope — it is not a BAA-covered service even on enterprise GitHub plans.,2026-06-01,https://github.com/customer-terms/github-data-protection-agreement,https://baa-atlas.foundagent.net/ai/github-copilot
Google NotebookLM,Google,AI research assistant,not_available,No,no,"NotebookLM is absent from Google Workspace's 'HIPAA Included Functionality' list, so it is not covered by the Google Workspace HIPAA BAA; the free consumer app is likewise out of scope.",2026-06-01,https://workspace.google.com/terms/2015/1/hipaa_functionality/,https://baa-atlas.foundagent.net/ai/google-notebooklm
Jasper,Jasper,AI writing / marketing,not_available,No,no,"The Jasper marketing platform's security documentation advises against entering protected health information and offers no BAA; the separately-owned, unrelated 'Jasper Health' company is the only Jasper-named entity that signs BAAs.",2026-06-01,https://www.jasper.ai/trust,https://baa-atlas.foundagent.net/ai/jasper
Meta AI,Meta,AI chat assistant,not_available,No,no,"Meta does not sign a HIPAA BAA for any of its products, including Meta AI; it is a consumer service not designed for PHI and has faced enforcement over health-data handling.",2026-06-01,https://www.facebook.com/privacy/genai,https://baa-atlas.foundagent.net/ai/meta-ai
Microsoft Copilot,Microsoft,AI chat assistant,not_available,No,no,Consumer Microsoft Copilot (the free / web Copilot) is excluded from Microsoft's HIPAA BAA — only Microsoft 365 enterprise Copilot is covered.,2026-06-01,https://support.microsoft.com/en-us/topic/privacy-faq-for-microsoft-copilot-27b3a435-8dc9-4b55-9a4b-58eeb9647a7f,https://baa-atlas.foundagent.net/ai/microsoft-copilot
